Marital status;Application mode;Application order;Course;Daytime/evening attendance	;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Last three digits of the ID;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1.0;1.0;1.0;9670.0;1.0;1.0;139.0;1.0;38.0;19.0;5.0;7.0;130.6;1.0;0.0;0.0;1.0;0.0;0.0;73;18.0;0.0;0.0;6.0;6.0;6.0;12.333333333333334;0.0;0.0;6.0;7.0;5.0;14.2;0.0;13.9;-0.3;0.79;Graduate
1.0;1.0;1.0;9500.0;1.0;1.0;136.0;1.0;19.0;;9.0;9.0;119.3;1.0;0.0;0.0;1.0;0.0;1.0;43;18.0;0.0;0.0;8.0;8.0;7.0;13.214285714285714;0.0;0.0;8.0;8.0;7.0;13.214285714285714;0.0;12.7;3.7;-1.7;Graduate
1.0;1.0;2.0;9853.0;1.0;1.0;133.0;1.0;19.0;37.0;4.0;9.0;130.2;1.0;0.0;0.0;1.0;0.0;0.0;3;19.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;12.7;3.7;-1.7;Dropout
1.0;53.0;1.0;9254.0;1.0;42.0;110.0;1.0;1.0;1.0;4.0;7.0;111.8;1.0;0.0;0.0;1.0;0.0;1.0;42;21.0;0.0;0.0;6.0;7.0;6.0;10.571428571428571;0.0;0.0;6.0;8.0;5.0;11.0;0.0;8.9;1.4;3.51;Graduate
1.0;1.0;1.0;;1.0;1.0;149.0;1.0;38.0;37.0;5.0;5.0;137.1;1.0;0.0;0.0;1.0;0.0;1.0;2;18.0;0.0;0.0;5.0;7.0;4.0;13.25;0.0;0.0;5.0;5.0;5.0;12.0;0.0;10.8;1.4;1.74;Graduate
1.0;1.0;1.0;9773.0;1.0;1.0;127.0;1.0;19.0;37.0;9.0;3.0;120.7;1.0;0.0;0.0;1.0;0.0;0.0;66;20.0;0.0;0.0;6.0;6.0;5.0;13.2;0.0;0.0;6.0;7.0;0.0;0.0;0.0;15.5;2.8;-4.06;Dropout
1.0;18.0;1.0;9238.0;;1.0;137.0;1.0;19.0;38.0;5.0;8.0;137.4;1.0;0.0;0.0;1.0;0.0;0.0;69;18.0;0.0;0.0;6.0;10.0;1.0;12.0;0.0;0.0;6.0;14.0;2.0;11.0;0.0;10.8;;1.74;Enrolled
1.0;17.0;2.0;9500.0;1.0;1.0;135.0;1.0;19.0;1.0;5.0;4.0;127.3;1.0;0.0;0.0;1.0;0.0;0.0;72;18.0;0.0;0.0;7.0;8.0;7.0;13.30625;0.0;0.0;8.0;8.0;8.0;14.545;0.0;15.5;2.8;-4.06;Graduate
1.0;1.0;1.0;9130.0;1.0;1.0;137.0;1.0;3.0;19.0;3.0;5.0;136.3;1.0;0.0;0.0;1.0;0.0;0.0;54;20.0;0.0;0.0;5.0;8.0;4.0;12.5;1.0;0.0;5.0;8.0;4.0;12.25;;10.8;1.4;1.74;Graduate
1.0;1.0;1.0;9853.0;1.0;1.0;140.0;1.0;19.0;19.0;7.0;7.0;124.6;1.0;0.0;0.0;1.0;0.0;0.0;25;18.0;0.0;0.0;7.0;7.0;6.0;11.666666666666666;0.0;0.0;7.0;8.0;6.0;13.5;0.0;16.2;0.3;-0.92;Enrolled
1.0;1.0;3.0;171.0;1.0;1.0;122.0;1.0;1.0;1.0;9.0;8.0;120.3;0.0;0.0;0.0;1.0;0.0;1.0;14;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1;0.6;2.02;Graduate
1.0;18.0;4.0;9556.0;1.0;1.0;127.0;1.0;1.0;38.0;4.0;7.0;121.8;1.0;0.0;0.0;1.0;0.0;0.0;6;20.0;0.0;0.0;7.0;14.0;7.0;11.4375;0.0;0.0;8.0;9.0;8.0;11.425;0.0;12.7;3.7;-1.7;Enrolled
1.0;1.0;4.0;9500.0;1.0;1.0;142.0;1.0;19.0;19.0;1.0;1.0;125.5;1.0;0.0;0.0;1.0;0.0;0.0;69;18.0;0.0;0.0;8.0;12.0;7.0;12.857142857142858;0.0;0.0;8.0;12.0;7.0;12.857142857142858;0.0;12.7;3.7;-1.7;Graduate
1.0;1.0;4.0;9670.0;1.0;1.0;125.0;1.0;1.0;38.0;4.0;7.0;114.9;1.0;0.0;0.0;1.0;0.0;1.0;77;19.0;0.0;0.0;6.0;8.0;6.0;13.375;0.0;0.0;6.0;7.0;6.0;12.285714285714286;0.0;11.1;0.6;2.02;Graduate
1.0;1.0;1.0;9500.0;1.0;1.0;126.0;1.0;19.0;19.0;3.0;7.0;123.9;0.0;0.0;0.0;1.0;0.0;0.0;70;19.0;0.0;0.0;7.0;8.0;6.0;13.296666666666669;0.0;0.0;8.0;9.0;7.0;;0.0;11.1;0.6;2.02;Graduate
1.0;1.0;1.0;9238.0;1.0;1.0;151.0;1.0;19.0;38.0;9.0;9.0;157.0;1.0;0.0;1.0;1.0;0.0;1.0;21;18.0;0.0;0.0;6.0;8.0;5.0;11.6;0.0;0.0;6.0;;4.0;11.0;0.0;7.6;2.6;0.32;Enrolled
1.0;17.0;2.0;9238.0;1.0;1.0;115.0;1.0;19.0;38.0;7.0;8.0;116.4;1.0;0.0;0.0;1.0;0.0;0.0;62;21.0;0.0;0.0;6.0;9.0;6.0;11.375;0.0;0.0;6.0;9.0;6.0;13.285714285714286;0.0;16.2;0.3;-0.92;Graduate
1.0;1.0;1.0;9085.0;1.0;1.0;138.0;1.0;19.0;19.0;3.0;3.0;131.0;1.0;0.0;0.0;1.0;0.0;0.0;8;18.0;0.0;0.0;5.0;9.0;5.0;12.666666666666666;2.0;0.0;5.0;7.0;4.0;13.0;0.0;9.4;-0.8;-3.12;Enrolled
1.0;1.0;1.0;9147.0;1.0;1.0;135.0;1.0;19.0;1.0;9.0;9.0;122.1;1.0;0.0;0.0;1.0;0.0;0.0;76;20.0;0.0;0.0;5.0;6.0;5.0;12.0;0.0;0.0;5.0;6.0;5.0;12.333333333333334;0.0;16.2;0.3;-0.92;Graduate
1.0;17.0;2.0;9500.0;1.0;1.0;127.0;1.0;3.0;3.0;1.0;10.0;118.8;1.0;0.0;0.0;1.0;1.0;0.0;36;19.0;0.0;0.0;7.0;9.0;6.0;12.933333333333332;0.0;0.0;7.0;7.0;6.0;13.716666666666669;0.0;16.2;0.3;-0.92;Enrolled
1.0;44.0;1.0;9003.0;1.0;39.0;150.0;1.0;4.0;5.0;4.0;2.0;150.0;0.0;0.0;0.0;1.0;1.0;0.0;70;21.0;0.0;0.0;6.0;15.0;5.0;11.857142857142858;0.0;0.0;6.0;17.0;5.0;10.571428571428571;0.0;16.2;0.3;-0.92;Enrolled
1.0;51.0;1.0;9070.0;1.0;1.0;125.0;1.0;42.0;3.0;125.0;124.0;130.0;1.0;0.0;0.0;1.0;1.0;0.0;91;20.0;0.0;2.0;6.0;7.0;6.0;12.833333333333334;0.0;0.0;6.0;9.0;4.0;13.4;0.0;8.9;1.4;3.51;Graduate
1.0;1.0;1.0;9147.0;1.0;1.0;143.0;1.0;1.0;1.0;4.0;6.0;138.8;0.0;0.0;0.0;0.0;1.0;0.0;93;18.0;0.0;0.0;5.0;9.0;3.0;11.333333333333334;0.0;0.0;5.0;8.0;2.0;13.5;0.0;8.9;1.4;3.51;Enrolled
1.0;18.0;1.0;8014.0;0.0;1.0;138.0;1.0;19.0;1.0;9.0;5.0;134.5;1.0;0.0;0.0;1.0;0.0;0.0;6;19.0;0.0;0.0;6.0;6.0;;12.666666666666666;0.0;0.0;6.0;8.0;6.0;14.375;0.0;12.4;0.5;1.79;Graduate
1.0;1.0;1.0;9991.0;0.0;1.0;130.0;1.0;2.0;37.0;3.0;9.0;131.4;0.0;0.0;0.0;1.0;1.0;0.0;25;34.0;0.0;0.0;5.0;6.0;5.0;12.4;0.0;0.0;5.0;9.0;5.0;13.428571428571429;0.0;13.9;-0.3;0.79;Graduate
1.0;39.0;1.0;33.0;1.0;1.0;130.0;1.0;38.0;37.0;9.0;6.0;102.5;0.0;0.0;1.0;0.0;1.0;0.0;99;37.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0;0.0;7.0;7.0;1.0;10.0;0.0;8.9;1.4;3.51;Dropout
1.0;39.0;1.0;9119.0;1.0;10.0;133.1;1.0;34.0;37.0;0.0;0.0;128.8;1.0;0.0;0.0;1.0;1.0;0.0;47;43.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;7.6;2.6;0.32;Dropout
1.0;43.0;1.0;9147.0;1.0;1.0;140.0;1.0;37.0;37.0;6.0;6.0;122.9;0.0;0.0;0.0;1.0;0.0;0.0;59;55.0;0.0;0.0;5.0;10.0;1.0;10.0;0.0;0.0;5.0;8.0;2.0;12.0;2.0;16.2;0.3;-0.92;Dropout
4.0;;;9991.0;0.0;1.0;120.0;1.0;19.0;19.0;9.0;3.0;113.9;1.0;0.0;0.0;1.0;0.0;0.0;10;39.0;0.0;0.0;5.0;8.0;5.0;11.0;0.0;0.0;5.0;5.0;5.0;11.6;0.0;7.6;2.6;0.32;Graduate
1.0;44.0;1.0;9130.0;1.0;39.0;120.0;6.0;4.0;4.0;3.0;6.0;120.0;0.0;0.0;1.0;0.0;0.0;0.0;55;20.0;1.0;2.0;6.0;13.0;3.0;11.666666666666666;0.0;1.0;6.0;11.0;3.0;12.0;0.0;12.4;0.5;1.79;Dropout
1.0;1.0;5.0;9773.0;1.0;1.0;126.0;1.0;3.0;3.0;2.0;2.0;121.1;0.0;0.0;1.0;1.0;0.0;0.0;59;18.0;0.0;0.0;6.0;6.0;4.0;12.75;0.0;0.0;5.0;5.0;0.0;0.0;0.0;12.7;3.7;-1.7;Dropout
;1.0;2.0;9147.0;1.0;1.0;133.0;1.0;3.0;19.0;2.0;7.0;120.4;1.0;0.0;0.0;1.0;0.0;0.0;96;22.0;0.0;0.0;5.0;5.0;5.0;14.8;0.0;0.0;5.0;5.0;5.0;15.8;0.0;8.9;1.4;3.51;Graduate
1.0;1.0;6.0;9500.0;1.0;1.0;103.0;1.0;1.0;;2.0;2.0;100.6;1.0;1.0;0.0;1.0;0.0;0.0;12;22.0;0.0;0.0;7.0;9.0;;13.928;0.0;0.0;8.0;9.0;7.0;14.342857142857142;0.0;11.1;0.6;2.02;Graduate
1.0;17.0;1.0;9773.0;1.0;1.0;120.0;1.0;1.0;38.0;5.0;5.0;121.4;0.0;0.0;0.0;0.0;0.0;0.0;80;20.0;0.0;0.0;6.0;7.0;4.0;13.0;0.0;0.0;6.0;7.0;5.0;13.8;0.0;12.4;0.5;1.79;Dropout
1.0;39.0;1.0;9991.0;0.0;1.0;133.1;1.0;37.0;37.0;9.0;9.0;109.7;0.0;0.0;0.0;1.0;0.0;0.0;57;29.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.2;0.3;-0.92;Dropout
1.0;17.0;1.0;9991.0;0.0;1.0;154.0;1.0;38.0;38.0;4.0;5.0;134.1;0.0;0.0;0.0;1.0;0.0;0.0;18;24.0;0.0;0.0;5.0;9.0;2.0;11.5;0.0;0.0;5.0;11.0;3.0;14.333333333333334;1.0;7.6;2.6;0.32;Enrolled
1.0;17.0;2.0;9238.0;1.0;1.0;130.0;1.0;19.0;19.0;9.0;9.0;127.6;1.0;0.0;0.0;1.0;0.0;0.0;24;18.0;0.0;0.0;6.0;6.0;6.0;11.666666666666666;0.0;0.0;6.0;8.0;5.0;13.2;0.0;11.1;0.6;2.02;Graduate
1.0;17.0;6.0;9500.0;1.0;1.0;132.0;1.0;37.0;19.0;7.0;7.0;132.4;1.0;0.0;0.0;1.0;0.0;1.0;75;22.0;0.0;0.0;7.0;8.0;6.0;13.516666666666666;0.0;0.0;8.0;9.0;7.0;13.771428571428572;0.0;11.1;;2.02;Graduate
1.0;44.0;1.0;8014.0;0.0;39.0;130.0;1.0;1.0;19.0;9.0;9.0;133.4;0.0;0.0;0.0;1.0;0.0;1.0;85;21.0;0.0;3.0;6.0;6.0;6.0;11.5;0.0;2.0;6.0;7.0;6.0;13.285714285714286;0.0;12.4;0.5;1.79;Graduate
1.0;1.0;1.0;9238.0;1.0;1.0;139.0;1.0;37.0;38.0;9.0;9.0;126.1;0.0;0.0;0.0;1.0;0.0;1.0;68;19.0;0.0;0.0;6.0;7.0;5.0;12.333333333333334;0.0;0.0;6.0;7.0;6.0;12.833333333333334;0.0;12.7;3.7;-1.7;Graduate
1.0;39.0;1.0;9254.0;1.0;1.0;130.0;1.0;19.0;38.0;9.0;7.0;113.5;0.0;0.0;0.0;1.0;0.0;1.0;67;24.0;0.0;0.0;6.0;6.0;6.0;13.666666666666666;0.0;0.0;6.0;6.0;6.0;14.166666666666666;0.0;12.4;0.5;1.79;Graduate
1.0;1.0;1.0;9500.0;1.0;1.0;139.0;1.0;37.0;38.0;6.0;6.0;121.3;1.0;0.0;0.0;1.0;0.0;1.0;70;19.0;0.0;0.0;8.0;10.0;6.0;11.833333333333334;0.0;0.0;8.0;10.0;6.0;11.833333333333334;0.0;9.4;-0.8;-3.12;Enrolled
1.0;1.0;1.0;9773.0;1.0;1.0;127.0;1.0;1.0;19.0;7.0;7.0;121.8;1.0;0.0;0.0;1.0;0.0;1.0;84;20.0;0.0;0.0;6.0;11.0;4.0;14.0;0.0;0.0;6.0;12.0;3.0;11.0;0.0;9.4;-0.8;-3.12;Enrolled
1.0;1.0;3.0;9130.0;1.0;1.0;167.0;1.0;37.0;37.0;90.0;90.0;159.3;0.0;0.0;0.0;1.0;0.0;0.0;21;19.0;0.0;0.0;5.0;7.0;5.0;14.714285714285714;0.0;0.0;5.0;5.0;5.0;15.8;0.0;7.6;2.6;0.32;Graduate
1.0;39.0;1.0;9991.0;0.0;1.0;130.0;1.0;38.0;38.0;9.0;9.0;120.0;0.0;0.0;0.0;1.0;0.0;0.0;95;27.0;0.0;0.0;5.0;12.0;5.0;10.6;0.0;0.0;5.0;10.0;5.0;11.0;0.0;9.4;-0.8;-3.12;Dropout
;1.0;1.0;9500.0;1.0;1.0;130.0;1.0;1.0;19.0;5.0;5.0;129.1;1.0;0.0;0.0;1.0;0.0;0.0;23;18.0;0.0;0.0;7.0;9.0;7.0;13.044444444444444;0.0;;8.0;10.0;8.0;13.595;0.0;15.5;2.8;-4.06;Graduate
2.0;7.0;1.0;9254.0;1.0;3.0;130.0;1.0;1.0;3.0;4.0;3.0;130.0;0.0;0.0;0.0;1.0;0.0;0.0;1;39.0;0.0;0.0;6.0;10.0;0.0;;0.0;0.0;6.0;6.0;0.0;0.0;0.0;12.4;0.5;1.79;Dropout
1.0;39.0;1.0;9130.0;1.0;40.0;129.0;1.0;3.0;3.0;2.0;2.0;155.3;1.0;0.0;0.0;1.0;0.0;0.0;45;27.0;0.0;0.0;6.0;9.0;5.0;13.0;0.0;5.0;11.0;13.0;10.0;12.9;0.0;12.4;0.5;1.79;Dropout
1.0;17.0;1.0;9500.0;1.0;1.0;141.0;1.0;38.0;38.0;;10.0;139.8;1.0;0.0;0.0;1.0;0.0;0.0;63;18.0;0.0;0.0;8.0;8.0;8.0;14.935;0.0;0.0;8.0;8.0;8.0;14.935;0.0;9.4;-0.8;-3.12;Graduate
1.0;1.0;3.0;171.0;1.0;1.0;125.0;1.0;38.0;37.0;4.0;9.0;115.2;1.0;0.0;0.0;1.0;0.0;0.0;57;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6;2.6;0.32;Enrolled
1.0;1.0;2.0;9500.0;1.0;1.0;125.0;1.0;19.0;19.0;9.0;9.0;114.9;0.0;0.0;0.0;1.0;0.0;0.0;4;18.0;0.0;0.0;7.0;8.0;6.0;13.133333333333333;0.0;0.0;;12.0;7.0;12.221428571428572;0.0;16.2;0.3;-0.92;Graduate
1.0;44.0;1.0;9238.0;1.0;39.0;130.0;1.0;19.0;1.0;9.0;9.0;131.9;0.0;;0.0;1.0;0.0;1.0;90;21.0;0.0;3.0;6.0;7.0;6.0;12.0;0.0;2.0;6.0;7.0;6.0;12.0;0.0;13.9;-0.3;0.79;Graduate
1.0;17.0;3.0;171.0;1.0;1.0;133.0;1.0;1.0;37.0;4.0;7.0;126.0;1.0;0.0;0.0;1.0;1.0;1.0;53;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.8;1.4;1.74;Enrolled
1.0;17.0;1.0;9070.0;1.0;1.0;127.0;1.0;1.0;1.0;3.0;4.0;130.2;1.0;;0.0;1.0;1.0;0.0;25;19.0;0.0;0.0;6.0;6.0;5.0;11.4;0.0;0.0;6.0;8.0;1.0;10.0;0.0;10.8;1.4;1.74;Enrolled
1.0;43.0;1.0;9070.0;1.0;1.0;116.0;1.0;1.0;1.0;3.0;3.0;120.9;0.0;0.0;0.0;1.0;1.0;0.0;35;24.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;12.7;3.7;-1.7;Enrolled
4.0;42.0;1.0;9500.0;1.0;19.0;133.1;1.0;1.0;1.0;5.0;5.0;126.0;1.0;0.0;0.0;1.0;1.0;0.0;96;29.0;0.0;2.0;7.0;10.0;5.0;11.9;0.0;1.0;8.0;10.0;5.0;11.0;0.0;13.9;-0.3;0.79;Dropout
1.0;1.0;3.0;171.0;1.0;1.0;139.0;1.0;19.0;19.0;5.0;3.0;128.2;1.0;0.0;0.0;1.0;1.0;;86;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.8;1.4;1.74;Graduate
1.0;44.0;1.0;9003.0;1.0;39.0;130.0;1.0;19.0;37.0;9.0;9.0;130.0;1.0;0.0;;1.0;1.0;0.0;28;23.0;0.0;0.0;6.0;8.0;6.0;12.571428571428571;0.0;0.0;6.0;7.0;6.0;12.428571428571429;0.0;8.9;1.4;3.51;Graduate
1.0;1.0;3.0;9147.0;1.0;1.0;125.0;1.0;1.0;38.0;7.0;7.0;120.1;0.0;0.0;1.0;1.0;1.0;0.0;45;19.0;0.0;0.0;5.0;8.0;5.0;11.2;0.0;0.0;5.0;10.0;4.0;10.75;3.0;16.2;;-0.92;Dropout
1.0;39.0;1.0;9254.0;1.0;1.0;160.0;1.0;19.0;37.0;7.0;10.0;100.0;0.0;0.0;0.0;1.0;1.0;0.0;65;26.0;0.0;0.0;6.0;7.0;6.0;12.0;;0.0;6.0;8.0;5.0;10.8;0.0;12.7;3.7;-1.7;Enrolled
1.0;17.0;1.0;9147.0;1.0;1.0;148.0;1.0;38.0;37.0;5.0;5.0;134.0;0.0;0.0;0.0;1.0;1.0;0.0;67;18.0;0.0;0.0;5.0;9.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;7.6;2.6;0.32;Enrolled
1.0;17.0;1.0;9500.0;1.0;1.0;150.0;1.0;37.0;;8.0;4.0;130.8;0.0;0.0;0.0;1.0;1.0;0.0;42;24.0;0.0;0.0;7.0;8.0;7.0;11.975;0.0;0.0;8.0;8.0;8.0;13.75;0.0;13.9;-0.3;0.79;Graduate
1.0;1.0;1.0;171.0;1.0;1.0;141.0;1.0;19.0;19.0;5.0;10.0;135.8;1.0;0.0;0.0;1.0;1.0;0.0;21;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.5;2.8;-4.06;Dropout
1.0;17.0;4.0;9254.0;1.0;1.0;118.0;1.0;38.0;37.0;5.0;7.0;111.7;1.0;0.0;0.0;1.0;1.0;0.0;88;18.0;0.0;0.0;6.0;12.0;3.0;11.666666666666666;0.0;0.0;6.0;12.0;1.0;12.0;0.0;12.4;0.5;1.79;Dropout
1.0;1.0;2.0;9773.0;1.0;1.0;142.0;1.0;38.0;38.0;9.0;9.0;132.9;1.0;0.0;0.0;1.0;1.0;0.0;28;;0.0;0.0;6.0;8.0;6.0;12.333333333333334;0.0;0.0;6.0;11.0;3.0;12.333333333333334;0.0;10.8;1.4;1.74;Graduate
1.0;17.0;3.0;9147.0;;1.0;120.0;1.0;19.0;19.0;4.0;7.0;115.5;1.0;0.0;1.0;1.0;1.0;0.0;19;18.0;0.0;0.0;5.0;8.0;3.0;10.333333333333334;0.0;0.0;5.0;11.0;3.0;10.857142857142858;0.0;10.8;1.4;1.74;Dropout
1.0;18.0;4.0;9254.0;1.0;1.0;106.0;1.0;19.0;37.0;7.0;7.0;106.0;1.0;0.0;0.0;1.0;1.0;1.0;11;21.0;0.0;0.0;6.0;8.0;4.0;10.5;0.0;0.0;6.0;11.0;1.0;11.0;0.0;9.4;-0.8;-3.12;Dropout
1.0;17.0;4.0;9773.0;1.0;1.0;121.0;1.0;1.0;19.0;9.0;8.0;120.3;1.0;0.0;1.0;1.0;1.0;1.0;55;19.0;0.0;0.0;6.0;6.0;6.0;13.666666666666666;0.0;0.0;6.0;6.0;6.0;13.333333333333334;0.0;8.9;1.4;3.51;Graduate
1.0;17.0;4.0;9500.0;1.0;1.0;150.0;1.0;38.0;37.0;9.0;9.0;130.8;0.0;0.0;0.0;1.0;1.0;1.0;17;22.0;;0.0;7.0;7.0;7.0;14.842857142857142;0.0;0.0;8.0;9.0;8.0;15.055555555555555;0.0;16.2;0.3;-0.92;Graduate
2.0;39.0;1.0;8014.0;0.0;;120.0;1.0;37.0;37.0;9.0;6.0;117.0;0.0;0.0;0.0;1.0;1.0;0.0;80;33.0;0.0;0.0;6.0;8.0;6.0;12.0;0.0;0.0;6.0;6.0;;11.666666666666666;0.0;10.8;1.4;1.74;Graduate
1.0;1.0;6.0;9853.0;1.0;1.0;114.0;1.0;19.0;19.0;9.0;9.0;110.2;1.0;0.0;0.0;1.0;1.0;0.0;94;20.0;0.0;0.0;6.0;8.0;5.0;12.2;0.0;0.0;6.0;7.0;5.0;12.2;0.0;;1.4;1.74;Dropout
1.0;39.0;1.0;9991.0;0.0;2.0;140.0;1.0;3.0;3.0;2.0;2.0;155.7;1.0;0.0;0.0;1.0;1.0;;53;35.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;10.8;1.4;1.74;Dropout
1.0;39.0;1.0;9003.0;1.0;4.0;160.0;1.0;3.0;3.0;4.0;2.0;180.4;0.0;0.0;1.0;1.0;1.0;0.0;94;24.0;0.0;6.0;12.0;17.0;6.0;12.166666666666666;0.0;7.0;12.0;14.0;10.0;13.3;0.0;12.4;0.5;1.79;Dropout
1.0;17.0;1.0;9254.0;1.0;1.0;120.0;1.0;19.0;19.0;4.0;4.0;125.5;0.0;0.0;0.0;1.0;1.0;0.0;53;18.0;0.0;0.0;5.0;6.0;5.0;12.0;0.0;0.0;5.0;8.0;3.0;11.333333333333334;0.0;12.7;3.7;-1.7;Enrolled
2.0;39.0;1.0;8014.0;0.0;1.0;130.0;1.0;37.0;37.0;9.0;6.0;110.0;1.0;0.0;0.0;1.0;0.0;0.0;40;33.0;0.0;0.0;6.0;7.0;6.0;11.0;0.0;0.0;6.0;11.0;5.0;11.0;0.0;9.4;-0.8;-3.12;Graduate
1.0;42.0;1.0;9500.0;1.0;1.0;160.0;1.0;37.0;38.0;9.0;7.0;161.0;1.0;0.0;0.0;1.0;0.0;1.0;42;22.0;0.0;0.0;8.0;8.0;7.0;13.08;0.0;0.0;8.0;8.0;7.0;13.08;0.0;10.8;1.4;1.74;Graduate
